x-axis,1,2,3
second,Volt,Volt,Volt
-47.0000E-09,-6.5169543741E-03,-2.4365524077E-03,-1.2707232745E-03
-46.2188E-09,-6.5169543741E-03,-5.9541403098E-03,-5.7933362914E-03
-45.4375E-09,-6.5169543741E-03,+236.8143978E-06,+236.8143978E-06
-44.6563E-09,-6.5169543741E-03,+1.5232465448E-03,-5.2305222271E-03
-43.8750E-09,-6.5169543741E-03,-5.2305222271E-03,-3.1400699881E-03
-43.0938E-09,-6.5169543741E-03,-6.5169543741E-03,+880.0304713E-06
-42.3125E-09,-6.5169543741E-03,-6.5169543741E-03,+1.5232465448E-03
-41.5313E-09,-10.7380598565E-03,-6.5169543741E-03,+1.5232465448E-03
-40.7500E-09,-14.0747432379E-03,-6.5169543741E-03,-5.2305222271E-03
-39.9688E-09,-7.8033865211E-03,-6.5169543741E-03,-3.9842910846E-03
-39.1875E-09,-6.5169543741E-03,-6.5169543741E-03,+719.2264529E-06
-38.4063E-09,+236.8143978E-06,-6.5169543741E-03,-5.2305222271E-03
-37.6250E-09,-2.2757483894E-03,+236.8143978E-06,+236.8143978E-06
-36.8438E-09,-5.9541403098E-03,-5.2305222271E-03,+1.5232465448E-03
-36.0625E-09,-6.5169543741E-03,-3.5621805364E-03,+1.5232465448E-03
-35.2813E-09,-13.2707231460E-03,+799.6284621E-06,+1.5232465448E-03
-34.5000E-09,-1.0496177492E-03,-5.2305222271E-03,+1.5232465448E-03
-33.7188E-09,-4.3863011306E-03,+236.8143978E-06,-5.2305222271E-03
-32.9375E-09,-13.1099191276E-03,-5.2305222271E-03,-3.5621805364E-03
-32.1563E-09,-7.8033865211E-03,-6.5169543741E-03,+799.6284621E-06
-31.3750E-09,-6.5169543741E-03,-6.5169543741E-03,+1.5232465448E-03
-30.5938E-09,-3.1400699881E-03,+236.8143978E-06,-5.2305222271E-03
-29.8125E-09,+880.0304713E-06,+1.5232465448E-03,-2.7179594399E-03
-29.0313E-09,-5.2305222271E-03,+4.9001309308E-03,+960.4324805E-06
-28.2500E-09,-6.5169543741E-03,+8.9202313902E-03,+1.5232465448E-03
-27.4688E-09,+236.8143978E-06,-3.9440900800E-03,+1.5232465448E-03
-26.6875E-09,+1.5232465448E-03,-6.5169543741E-03,+1.5232465448E-03
-25.9063E-09,+1.5232465448E-03,-6.5169543741E-03,+1.5232465448E-03
-25.1250E-09,-5.2305222271E-03,-6.5169543741E-03,+1.5232465448E-03
-24.3438E-09,-6.5169543741E-03,-6.5169543741E-03,+1.5232465448E-03
-23.5625E-09,-10.7380598565E-03,+236.8143978E-06,+1.5232465448E-03
-22.7813E-09,-14.0747432379E-03,-5.2305222271E-03,-5.2305222271E-03
-22.0000E-09,-7.8033865211E-03,-3.1400699881E-03,-3.9842910846E-03
-21.2188E-09,-6.5169543741E-03,+880.0304713E-06,+719.2264529E-06
-20.4375E-09,+236.8143978E-06,+1.5232465448E-03,-5.2305222271E-03
-19.6563E-09,+1.5232465448E-03,-5.2305222271E-03,+236.8143978E-06
-18.8750E-09,+1.5232465448E-03,+236.8143978E-06,-2.2757483894E-03
-18.0938E-09,+1.5232465448E-03,-1.8536378411E-03,-5.9541403098E-03
-17.3125E-09,+15.0307840886E-03,-5.8737383006E-03,+236.8143978E-06
-16.5313E-09,+21.4026433168E-03,-6.5169543741E-03,+1.5232465448E-03
-15.7500E-09,+25.0810352372E-03,-6.5169543741E-03,+1.5232465448E-03
