x-axis,1,2
second,Volt,Volt
-268.0000E-09,+233.0530753934E-03,-221.0976735114E-03
-267.2188E-09,+236.0681507380E-03,-221.0976735114E-03
-266.4375E-09,+241.0128743031E-03,-224.9569699525E-03
-265.6563E-09,+248.9324722083E-03,-227.0474221914E-03
-264.8750E-09,+253.1133766861E-03,-229.0574724211E-03
-264.0938E-09,+257.1334771455E-03,-232.9971708714E-03
-263.3125E-09,+261.1535776050E-03,-233.1579748898E-03
-262.5313E-09,+261.3143816234E-03,-233.1579748898E-03
-261.7500E-09,+269.0329745055E-03,-233.1579748898E-03
-260.9688E-09,+269.3545825423E-03,-237.0172713308E-03
-260.1875E-09,+272.4902609007E-03,-237.1780753492E-03
-259.4063E-09,+277.2038286894E-03,-233.3187789081E-03
-258.6250E-09,+273.5354870201E-03,-235.0876231103E-03
-257.8438E-09,+277.2339794428E-03,-237.0976733400E-03
-257.0625E-09,+277.3947834612E-03,-233.3187789081E-03
-256.2813E-09,+277.3947834612E-03,-233.1579748898E-03
-255.5000E-09,+281.2540799023E-03,-229.2986784487E-03
-254.7188E-09,+285.2741803617E-03,-227.6906382649E-03
-253.9375E-09,+281.5756879390E-03,-225.2182764823E-03
-253.1563E-09,+281.4148839207E-03,-228.9770704119E-03
-252.3750E-09,+281.4148839207E-03,-221.4192815481E-03
-251.5938E-09,+281.4148839207E-03,-219.1680252909E-03
-250.8125E-09,+273.6962910385E-03,-217.1579750611E-03
-250.0313E-09,+273.3746830017E-03,-213.2182766109E-03
-249.2500E-09,+273.3746830017E-03,-205.3388797103E-03
-248.4687E-09,+269.5153865607E-03,-205.0172716736E-03
-247.6875E-09,+269.3545825423E-03,-201.8815933152E-03
-246.9062E-09,+261.6359896601E-03,-197.1680255265E-03
-246.1250E-09,+259.3847334028E-03,-193.1177743136E-03
-245.3437E-09,+257.3746831731E-03,-185.2383774130E-03
-244.5625E-09,+253.4349847228E-03,-182.9871211557E-03
-243.7812E-09,+245.5555878223E-03,-180.9770709260E-03
-243.0000E-09,+237.5153869034E-03,-173.1780760347E-03
-242.2187E-09,+235.5053366737E-03,-165.1378751158E-03
-241.4375E-09,+233.2641306675E-03,-157.0976741968E-03
-240.6562E-09,+225.4550855250E-03,-153.3991817741E-03
-239.8750E-09,+221.2741810472E-03,-148.9167697619E-03
-239.0937E-09,+217.0128745602E-03,-141.0172723590E-03
-238.3125E-09,+213.2239298771E-03,-136.8363678812E-03
-237.5312E-09,+205.3545832277E-03,-129.9217950909E-03
-236.7500E-09,+197.3143823088E-03,-124.8162675074E-03
