Freq.	V(ref)/V(tee)
1.11120000000000e+07	1.44121892682435e+00,1.38014733704515e-01
1.12700000000000e+07	1.44256324984012e+00,1.39868336256918e-01
1.14280000000000e+07	1.44393123846318e+00,1.41715822680186e-01
1.15860000000000e+07	1.44532309317929e+00,1.43556989996690e-01
1.17440000000000e+07	1.44673901724165e+00,1.45391629149602e-01
1.19020000000000e+07	1.44817921663973e+00,1.47219524830521e-01
1.20600000000000e+07	1.44964390006509e+00,1.49040455302892e-01
1.22180000000000e+07	1.45113327887377e+00,1.50854192221155e-01
1.23760000000000e+07	1.45264756704523e+00,1.52660500445547e-01
1.25340000000000e+07	1.45418698113746e+00,1.54459137852457e-01
1.26920000000000e+07	1.45575174023836e+00,1.56249855140267e-01
1.28500000000000e+07	1.45734206591271e+00,1.58032395630615e-01
1.30080000000000e+07	1.45895818214503e+00,1.59806495064977e-01
1.31660000000000e+07	1.46060031527764e+00,1.61571881396511e-01
1.33240000000000e+07	1.46226869394394e+00,1.63328274577104e-01
1.34820000000000e+07	1.46396354899658e+00,1.65075386339522e-01
1.36400000000000e+07	1.46568511343022e+00,1.66812919974633e-01
1.37980000000000e+07	1.46743362229866e+00,1.68540570103623e-01
1.39560000000000e+07	1.46920931262595e+00,1.70258022445147e-01
1.41140000000000e+07	1.47101242331129e+00,1.71964953577378e-01
1.42720000000000e+07	1.47284319502736e+00,1.73661030694889e-01
1.44300000000000e+07	1.47470187011165e+00,1.75345911360343e-01
1.45880000000000e+07	1.47658869245065e+00,1.77019243250943e-01
1.47460000000000e+07	1.47850390735635e+00,1.78680663899624e-01
1.49040000000000e+07	1.48044776143473e+00,1.80329800430960e-01
1.50620000000000e+07	1.48242050244599e+00,1.81966269291778e-01
1.52200000000000e+07	1.48442237915581e+00,1.83589675976471e-01
1.53780000000000e+07	1.48645364117763e+00,1.85199614747024e-01
1.55360000000000e+07	1.48851453880510e+00,1.86795668347767e-01
1.56940000000000e+07	1.49060532283456e+00,1.88377407714881e-01
1.58520000000000e+07	1.49272624437693e+00,1.89944391680704e-01
1.60100000000000e+07	1.49487755465853e+00,1.91496166672889e-01
1.61680000000000e+07	1.49705950481041e+00,1.93032266408495e-01
1.63260000000000e+07	1.49927234564555e+00,1.94552211583074e-01
1.64840000000000e+07	1.50151632742351e+00,1.96055509554892e-01
1.66420000000000e+07	1.50379169960182e+00,1.97541654024373e-01
1.68000000000000e+07	1.50609871057375e+00,1.99010124708932e-01
1.69580000000000e+07	1.50843760739162e+00,2.00460387013353e-01
1.71160000000000e+07	1.51080863547518e+00,2.01891891695894e-01
1.72740000000000e+07	1.51321203830447e+00,2.03304074530347e-01
1.74320000000000e+07	1.51564805709625e+00,2.04696355964271e-01
1.75900000000000e+07	1.51811693046369e+00,2.06068140773681e-01
1.77480000000000e+07	1.52061889405830e+00,2.07418817714485e-01
1.79060000000000e+07	1.52315418019355e+00,2.08747759170999e-01
1.80640000000000e+07	1.52572301744944e+00,2.10054320801901e-01
1.82220000000000e+07	1.52832563025715e+00,2.11337841184031e-01
1.83800000000000e+07	1.53096223846323e+00,2.12597641454474e-01
1.85380000000000e+07	1.53363305687218e+00,2.13833024951403e-01
1.86960000000000e+07	1.53633829476701e+00,2.15043276854218e-01
1.88540000000000e+07	1.53907815540663e+00,2.16227663823545e-01
1.90120000000000e+07	1.54185283549941e+00,2.17385433641716e-01
1.91700000000000e+07	1.54466252465197e+00,2.18515814854412e-01
1.93280000000000e+07	1.54750740479237e+00,2.19618016414198e-01
1.94860000000000e+07	1.55038764956676e+00,2.20691227326723e-01
1.96440000000000e+07	1.55330342370864e+00,2.21734616300464e-01
1.98020000000000e+07	1.55625488237977e+00,2.22747331400901e-01
1.99600000000000e+07	1.55924217048195e+00,2.23728499710129e-01
2.01180000000000e+07	1.56226542193845e+00,2.24677226992943e-01
2.02760000000000e+07	1.56532475894456e+00,2.25592597370553e-01
2.04340000000000e+07	1.56842029118599e+00,2.26473673003123e-01
2.05920000000000e+07	1.57155211502441e+00,2.27319493782430e-01
2.07500000000000e+07	1.57472031264906e+00,2.28129077036035e-01
2.09080000000000e+07	1.57792495119374e+00,2.28901417244435e-01
2.10660000000000e+07	1.58116608181796e+00,2.29635485772767e-01
2.12240000000000e+07	1.58444373875174e+00,2.30330230618725e-01
2.13820000000000e+07	1.58775793830292e+00,2.30984576178475e-01
2.15400000000000e+07	1.59110867782627e+00,2.31597423032436e-01
2.16980000000000e+07	1.59449593465370e+00,2.32167647752920e-01
2.18560000000000e+07	1.59791966498462e+00,2.32694102735740e-01
2.20140000000000e+07	1.60137980273592e+00,2.33175616058004e-01
2.21720000000000e+07	1.60487625835088e+00,2.33610991364450e-01
2.23300000000000e+07	1.60840891756638e+00,2.33999007784783e-01
2.24880000000000e+07	1.61197764013799e+00,2.34338419884626e-01
2.26460000000000e+07	1.61558225852239e+00,2.34627957652818e-01
2.28040000000000e+07	1.61922257651696e+00,2.34866326527929e-01
2.29620000000000e+07	1.62289836785612e+00,2.35052207466989e-01
2.31200000000000e+07	1.62660937476447e+00,2.35184257059599e-01
2.32780000000000e+07	1.63035530646654e+00,2.35261107690689e-01
2.34360000000000e+07	1.63413583765355e+00,2.35281367755374e-01
2.35940000000000e+07	1.63795060690719e+00,2.35243621929460e-01
2.37520000000000e+07	1.64179921508118e+00,2.35146431499337e-01
2.39100000000000e+07	1.64568122364094e+00,2.34988334755093e-01
2.40680000000000e+07	1.64959615296249e+00,2.34767847450856e-01
2.42260000000000e+07	1.65354348059146e+00,2.34483463336490e-01
2.43840000000000e+07	1.65752263946353e+00,2.34133654764914e-01
2.45420000000000e+07	1.66153301608786e+00,2.33716873379408e-01
