time	V(n001)	V(n002)
0.000000000000000e+00	0.000000e+00	0.000000e+00
1.006310719978738e-09	0.000000e+00	0.000000e+00
2.000000000000000e-09	0.000000e+00	0.000000e+00
2.003785714285714e-09	1.766137e-07	0.000000e+00
2.007571428571428e-09	6.820761e-07	0.000000e+00
2.011357142857142e-09	1.516387e-06	0.000000e+00
2.015142857142856e-09	2.679547e-06	0.000000e+00
2.018928571428570e-09	4.171555e-06	0.000000e+00
2.022714285714284e-09	5.992411e-06	0.000000e+00
2.026499999999997e-09	8.142117e-06	0.000000e+00
2.027499999999997e-09	8.763382e-06	0.000000e+00
2.039357142857139e-09	1.793883e-05	0.000000e+00
2.051214285714281e-09	3.016588e-05	0.000000e+00
2.063071428571422e-09	4.544456e-05	0.000000e+00
2.074928571428564e-09	6.377484e-05	0.000000e+00
2.086785714285705e-09	8.515674e-05	0.000000e+00
2.098642857142847e-09	1.095902e-04	0.000000e+00
2.110499999999989e-09	1.370754e-04	0.000000e+00
2.132642857142843e-09	1.965739e-04	0.000000e+00
2.154785714285698e-09	2.655247e-04	0.000000e+00
2.176928571428553e-09	3.439278e-04	0.000000e+00
2.199071428571408e-09	4.317832e-04	0.000000e+00
2.221214285714263e-09	5.290909e-04	0.000000e+00
2.243357142857117e-09	6.358509e-04	0.000000e+00
2.265499999999972e-09	7.520632e-04	0.000000e+00
2.305071428571396e-09	9.829191e-04	0.000000e+00
2.344642857142821e-09	1.238130e-03	0.000000e+00
2.384214285714245e-09	1.517694e-03	0.000000e+00
2.423785714285670e-09	1.821614e-03	0.000000e+00
2.463357142857094e-09	2.149887e-03	0.000000e+00
2.502928571428518e-09	2.502515e-03	0.000000e+00
2.542499999999942e-09	2.879498e-03	0.000000e+00
2.610785714285649e-09	3.584033e-03	0.000000e+00
2.679071428571356e-09	4.338469e-03	0.000000e+00
2.747357142857063e-09	5.142807e-03	0.000000e+00
2.815642857142770e-09	5.997045e-03	0.000000e+00
2.883928571428477e-09	6.901184e-03	0.000000e+00
2.952214285714184e-09	7.855224e-03	0.000000e+00
3.020499999999891e-09	8.859165e-03	0.000000e+00
3.051499999999888e-09	9.324246e-03	0.000000e+00
3.176785714285601e-09	1.130860e-02	0.000000e+00
3.302071428571314e-09	1.337674e-02	0.000000e+00
3.427357142857027e-09	1.552866e-02	0.000000e+00
3.552642857142740e-09	1.776436e-02	0.000000e+00
3.677928571428453e-09	2.008384e-02	0.000000e+00
3.803214285714166e-09	2.248710e-02	0.000000e+00
3.928499999999879e-09	2.497415e-02	0.000000e+00
4.075499999999924e-09	2.793057e-02	0.000000e+00
4.221642857142826e-09	3.094723e-02	0.000000e+00
4.367785714285728e-09	3.400221e-02	0.000000e+00
4.513928571428629e-09	3.709550e-02	0.000000e+00
4.660071428571532e-09	4.022710e-02	0.000000e+00
4.806214285714434e-09	4.339702e-02	0.000000e+00
4.952357142857336e-09	4.660526e-02	0.000000e+00
5.098500000000238e-09	4.985181e-02	0.000000e+00
5.099500000000238e-09	4.987402e-02	0.000000e+00
5.245642857143140e-09	5.313548e-02	0.000000e+00
5.391785714286042e-09	5.641070e-02	0.000000e+00
5.537928571428944e-09	5.969968e-02	0.000000e+00
5.684071428571846e-09	6.300243e-02	0.000000e+00
5.830214285714748e-09	6.631894e-02	0.000000e+00
5.976357142857650e-09	6.964921e-02	0.000000e+00
6.122500000000552e-09	7.299324e-02	0.000000e+00
6.123500000000552e-09	7.301612e-02	0.000000e+00
7.147500000000866e-09	9.658875e-02	0.000000e+00
8.171500000000584e-09	1.203160e-01	0.000000e+00
9.195500000000051e-09	1.440988e-01	0.000000e+00
1.021949999999952e-08	1.679016e-01	0.000000e+00
1.124349999999898e-08	1.917116e-01	0.000000e+00
1.226749999999845e-08	2.155241e-01	0.000000e+00
1.329149999999792e-08	2.393375e-01	0.000000e+00
1.431549999999739e-08	2.631513e-01	0.000000e+00
1.533949999999758e-08	2.869652e-01	0.000000e+00
1.636349999999874e-08	3.107791e-01	0.000000e+00
1.738749999999990e-08	3.345930e-01	0.000000e+00
1.841150000000106e-08	3.584070e-01	0.000000e+00
1.943550000000222e-08	3.822209e-01	7.186944e-25
2.028850000000319e-08	4.020582e-01	5.768935e-10
2.029150000000319e-08	4.021279e-01	4.269049e-09
2.029450000000320e-08	4.021977e-01	1.164644e-08
2.029750000000320e-08	4.022675e-01	2.571004e-08
2.030050000000320e-08	4.023372e-01	4.946485e-08
2.030350000000321e-08	4.024070e-01	8.586026e-08
2.030650000000321e-08	4.024768e-01	1.377996e-07
2.030950000000321e-08	4.025465e-01	2.081350e-07
2.031250000000322e-08	4.026163e-01	2.996721e-07
2.031807142857465e-08	4.027459e-01	4.955586e-07
2.032364285714609e-08	4.028754e-01	8.314860e-07
2.032921428571752e-08	4.030050e-01	1.307454e-06
2.033478571428896e-08	4.031345e-01	1.923463e-06
2.034035714286039e-08	4.032641e-01	2.679513e-06
2.034592857143182e-08	4.033937e-01	3.575604e-06
2.035150000000326e-08	4.035233e-01	4.611735e-06
2.035878571428898e-08	4.036927e-01	6.241172e-06
2.036607142857471e-08	4.038621e-01	8.299544e-06
2.037335714286043e-08	4.040316e-01	1.078685e-05
2.038064285714615e-08	4.042010e-01	1.370310e-05
2.038792857143187e-08	4.043704e-01	1.704827e-05
2.039521428571760e-08	4.045399e-01	2.082239e-05
2.040250000000332e-08	4.047093e-01	2.502544e-05
2.041050000000333e-08	4.048953e-01	3.024425e-05
2.041850000000334e-08	4.050814e-01	3.618168e-05
2.042650000000335e-08	4.052674e-01	4.283773e-05
2.043450000000336e-08	4.054535e-01	5.021239e-05
2.044250000000336e-08	4.056395e-01	5.830568e-05
2.045050000000337e-08	4.058256e-01	6.711758e-05
2.045850000000338e-08	4.060116e-01	7.664810e-05
2.045950000000338e-08	4.060349e-01	7.790297e-05
2.047578571428912e-08	4.064136e-01	9.982985e-05
2.049207142857485e-08	4.067924e-01	1.255676e-04
2.050835714286058e-08	4.071711e-01	1.551161e-04
2.052464285714631e-08	4.075498e-01	1.884755e-04
2.054092857143205e-08	4.079286e-01	2.256458e-04
2.055721428571778e-08	4.083073e-01	2.666268e-04
2.057350000000351e-08	4.086860e-01	3.114188e-04
2.060621428571784e-08	4.094468e-01	4.141872e-04
2.063892857143216e-08	4.102076e-01	5.345635e-04
2.067164285714648e-08	4.109685e-01	6.725476e-04
2.070435714286080e-08	4.117292e-01	8.281395e-04
2.073707142857513e-08	4.124900e-01	1.001339e-03
2.076978571428945e-08	4.132508e-01	1.192147e-03
2.080250000000377e-08	4.140116e-01	1.400562e-03
2.085935714286098e-08	4.153339e-01	1.808845e-03
2.091621428571819e-08	4.166561e-01	2.264401e-03
2.097307142857540e-08	4.179784e-01	2.767230e-03
2.102992857143260e-08	4.193007e-01	3.317332e-03
2.108678571428981e-08	4.206229e-01	3.914708e-03
2.114364285714702e-08	4.219452e-01	4.559356e-03
2.120050000000422e-08	4.232675e-01	5.251278e-03
2.124078571428998e-08	4.242043e-01	5.764518e-03
2.128107142857575e-08	4.251412e-01	6.295717e-03
2.132135714286150e-08	4.260781e-01	6.844877e-03
2.136164285714726e-08	4.270150e-01	7.411997e-03
2.140192857143302e-08	4.279518e-01	7.997077e-03
2.144221428571878e-08	4.288887e-01	8.600116e-03
2.148250000000454e-08	4.298256e-01	9.221116e-03
2.148350000000454e-08	4.298488e-01	9.236692e-03
2.160050000000468e-08	4.325698e-01	1.115083e-02
2.171750000000481e-08	4.352907e-01	1.315525e-02
2.183450000000494e-08	4.380116e-01	1.524994e-02
2.195150000000508e-08	4.407326e-01	1.743490e-02
2.206850000000521e-08	4.434535e-01	1.971014e-02
2.218550000000534e-08	4.461744e-01	2.207566e-02
2.230250000000547e-08	4.488953e-01	2.453144e-02
2.250750000000571e-08	4.536628e-01	2.893004e-02
2.264954760003788e-08	4.569662e-01	3.208348e-02
2.279159520007006e-08	4.602697e-01	3.528123e-02
2.293364280010224e-08	4.635731e-01	3.852328e-02
2.307569040013442e-08	4.668765e-01	4.180964e-02
2.321773800016659e-08	4.701799e-01	4.514030e-02
2.335978560019877e-08	4.734834e-01	4.851527e-02
2.350183320023095e-08	4.767868e-01	5.193454e-02
2.350583320023095e-08	4.768794e-01	5.203080e-02
2.359740462880248e-08	4.788686e-01	5.424214e-02
2.368897605737402e-08	4.807157e-01	5.646147e-02
2.378054748594555e-08	4.824208e-01	5.868878e-02
2.387211891451708e-08	4.839838e-01	6.092408e-02
2.396369034308861e-08	4.854047e-01	6.316738e-02
2.405526177166014e-08	4.866835e-01	6.541866e-02
2.414683320023168e-08	4.878203e-01	6.767792e-02
2.420140462880317e-08	4.884629e-01	6.902628e-02
2.425597605737466e-08	4.890754e-01	7.037632e-02
2.431054748594615e-08	4.896579e-01	7.172806e-02
2.436511891451764e-08	4.902103e-01	7.308148e-02
2.441969034308913e-08	4.907326e-01	7.443659e-02
2.447426177166062e-08	4.912249e-01	7.579339e-02
2.452883320023211e-08	4.916871e-01	7.715189e-02
2.452983320023211e-08	4.916954e-01	7.717679e-02
2.462140462880365e-08	4.924099e-01	7.945979e-02
2.471297605737518e-08	4.930734e-01	8.174566e-02
2.480454748594671e-08	4.936858e-01	8.403440e-02
2.489611891451824e-08	4.942472e-01	8.632601e-02
2.498769034308977e-08	4.947576e-01	8.862049e-02
2.507926177166130e-08	4.952169e-01	9.091784e-02
2.517083320023284e-08	4.956252e-01	9.321805e-02
2.522540462880433e-08	4.958560e-01	9.458955e-02
2.527997605737582e-08	4.960761e-01	9.596166e-02
2.533454748594731e-08	4.962853e-01	9.733437e-02
2.538911891451880e-08	4.964837e-01	9.870769e-02
2.544369034309029e-08	4.966713e-01	1.000816e-01
2.549826177166178e-08	4.968481e-01	1.014562e-01
2.555283320023327e-08	4.970141e-01	1.028313e-01
2.555383320023327e-08	4.970171e-01	1.028565e-01
2.564554748594766e-08	4.972741e-01	1.051688e-01
2.573726177166205e-08	4.975127e-01	1.074822e-01
2.582897605737644e-08	4.977330e-01	1.097966e-01
2.592069034309083e-08	4.979349e-01	1.121121e-01
2.601240462880522e-08	4.981184e-01	1.144286e-01
2.610411891451961e-08	4.982835e-01	1.167461e-01
2.619583320023400e-08	4.984302e-01	1.190646e-01
2.625026177166263e-08	4.985128e-01	1.204408e-01
2.630469034309127e-08	4.985916e-01	1.218172e-01
2.635911891451990e-08	4.986665e-01	1.231939e-01
2.641354748594853e-08	4.987375e-01	1.245707e-01
2.646797605737717e-08	4.988047e-01	1.259478e-01
2.652240462880580e-08	4.988681e-01	1.273251e-01
2.657683320023443e-08	4.989275e-01	1.287026e-01
2.657783320023443e-08	4.989286e-01	1.287279e-01
2.666983320023454e-08	4.990212e-01	1.310568e-01
2.676183320023464e-08	4.991071e-01	1.333860e-01
2.685383320023475e-08	4.991864e-01	1.357155e-01
2.694583320023485e-08	4.992591e-01	1.380455e-01
2.703783320023496e-08	4.993251e-01	1.403758e-01
2.712983320023506e-08	4.993845e-01	1.427065e-01
2.722183320023516e-08	4.994373e-01	1.450376e-01
2.727597605737808e-08	4.994667e-01	1.464095e-01
2.733011891452100e-08	4.994948e-01	1.477816e-01
2.738426177166392e-08	4.995216e-01	1.491537e-01
2.743840462880684e-08	4.995469e-01	1.505258e-01
2.749254748594976e-08	4.995709e-01	1.518981e-01
2.754669034309268e-08	4.995935e-01	1.532704e-01
2.760083320023559e-08	4.996148e-01	1.546428e-01
2.760183320023560e-08	4.996152e-01	1.546682e-01
2.769454748594999e-08	4.996487e-01	1.570185e-01
2.778726177166438e-08	4.996797e-01	1.593689e-01
2.787997605737877e-08	4.997084e-01	1.617194e-01
2.797269034309316e-08	4.997346e-01	1.640701e-01
2.806540462880755e-08	4.997585e-01	1.664209e-01
2.815811891452194e-08	4.997799e-01	1.687719e-01
2.825083320023633e-08	4.997989e-01	1.711230e-01
2.830426177166496e-08	4.998093e-01	1.724779e-01
2.835769034309360e-08	4.998192e-01	1.738328e-01
2.841111891452223e-08	4.998287e-01	1.751877e-01
2.846454748595086e-08	4.998376e-01	1.765427e-01
2.851797605737949e-08	4.998461e-01	1.778977e-01
2.857140462880812e-08	4.998541e-01	1.792528e-01
2.862483320023676e-08	4.998616e-01	1.806078e-01
2.862583320023676e-08	4.998618e-01	1.806332e-01
2.872083320023686e-08	4.998741e-01	1.830426e-01
2.881583320023697e-08	4.998855e-01	1.854521e-01
2.891083320023708e-08	4.998960e-01	1.878617e-01
2.900583320023719e-08	4.999056e-01	1.902713e-01
2.910083320023730e-08	4.999143e-01	1.926810e-01
2.919583320023740e-08	4.999220e-01	1.950907e-01
2.929083320023751e-08	4.999289e-01	1.975004e-01
2.934197605738043e-08	4.999324e-01	1.987977e-01
2.939311891452334e-08	4.999358e-01	2.000950e-01
2.944426177166625e-08	4.999390e-01	2.013924e-01
2.949540462880917e-08	4.999421e-01	2.026897e-01
2.954654748595209e-08	4.999450e-01	2.039870e-01
2.959769034309500e-08	4.999477e-01	2.052843e-01
2.964883320023792e-08	4.999503e-01	2.065817e-01
2.964983320023792e-08	4.999503e-01	2.066071e-01
2.975054748595232e-08	4.999550e-01	2.091619e-01
2.985126177166672e-08	4.999593e-01	2.117168e-01
2.995197605738112e-08	4.999633e-01	2.142717e-01
3.005269034309552e-08	4.999669e-01	2.168266e-01
3.015340462880991e-08	4.999701e-01	2.193815e-01
3.025411891452431e-08	4.999730e-01	2.219365e-01
3.035483320023871e-08	4.999755e-01	2.244915e-01
3.040026177166734e-08	4.999766e-01	2.256439e-01
3.044569034309596e-08	4.999776e-01	2.267964e-01
3.049111891452458e-08	4.999786e-01	2.279489e-01
3.053654748595321e-08	4.999796e-01	2.291013e-01
3.058197605738183e-08	4.999805e-01	2.302538e-01
3.062740462881045e-08	4.999813e-01	2.314063e-01
3.067283320023907e-08	4.999821e-01	2.325588e-01
3.067383320023908e-08	4.999822e-01	2.325841e-01
3.078869034309635e-08	4.999841e-01	2.354979e-01
3.090354748595362e-08	4.999858e-01	2.384118e-01
3.101840462881089e-08	4.999874e-01	2.413256e-01
3.113326177166817e-08	4.999888e-01	2.442394e-01
3.124811891452544e-08	4.999900e-01	2.471533e-01
3.136297605738272e-08	4.999911e-01	2.500672e-01
3.147783320023999e-08	4.999920e-01	2.529810e-01
3.150911891452574e-08	4.999923e-01	2.537747e-01
3.154040462881148e-08	4.999925e-01	2.545684e-01
3.157169034309723e-08	4.999927e-01	2.553621e-01
3.160297605738299e-08	4.999930e-01	2.561559e-01
3.163426177166874e-08	4.999932e-01	2.569496e-01
3.166554748595449e-08	4.999934e-01	2.577433e-01
3.169683320024024e-08	4.999936e-01	2.585370e-01
3.169783320024024e-08	4.999936e-01	2.585623e-01
3.184397605738326e-08	4.999944e-01	2.622699e-01
3.199011891452628e-08	4.999952e-01	2.659775e-01
3.213626177166931e-08	4.999959e-01	2.696851e-01
3.228240462881233e-08	4.999964e-01	2.733927e-01
3.242854748595535e-08	4.999969e-01	2.771004e-01
3.257469034309837e-08	4.999974e-01	2.808080e-01
3.272083320024140e-08	4.999977e-01	2.845156e-01
3.272183320024140e-08	4.999977e-01	2.845410e-01
3.286797605738442e-08	4.999980e-01	2.882486e-01
3.301411891452744e-08	4.999983e-01	2.919562e-01
3.316026177167047e-08	4.999985e-01	2.956638e-01
3.330640462881349e-08	4.999987e-01	2.993715e-01
3.345254748595651e-08	4.999989e-01	3.030791e-01
3.359869034309953e-08	4.999991e-01	3.067867e-01
3.374483320024256e-08	4.999992e-01	3.104944e-01
3.374583320024256e-08	4.999992e-01	3.105198e-01
3.389197605738558e-08	4.999993e-01	3.142274e-01
3.403811891452860e-08	4.999994e-01	3.179350e-01
3.418426177167163e-08	4.999995e-01	3.216426e-01
3.433040462881465e-08	4.999995e-01	3.253503e-01
