Record Length,Analog:350
Sample Interval,CH:0.0000000020000
Vertical Units,CH1:V CH2:V CH3:V,,,
Vertical Scale,CH1:+1.000000E+00 CH2:+1.000000E+00 CH3:+1.000000E+00,,,
Vertical Offset,CH1:-2.000000E+00 CH2:-2.000000E+00 CH3:-2.000000E+00,,,
Horizontal Units,us,,,
Horizontal Scale,0.0500000000,,,
Model Number,SDS1104X-E,,,
Serial Number,SDSMMFCQ5R6893,,,
Software Version,8.1.6.1.35R2,,,
Source,CH1,CH2,CH3
Second,Volt,Volt,Volt
+1.720000E-07,+3.160000E+00,+2.840000E+00,+5.000000E+00
+1.740000E-07,+3.160000E+00,+2.840000E+00,+5.000000E+00
+1.760000E-07,+3.120000E+00,+2.840000E+00,+5.040000E+00
+1.780000E-07,+3.120000E+00,+2.880000E+00,+5.120000E+00
+1.800000E-07,+3.120000E+00,+2.880000E+00,+5.160000E+00
+1.820000E-07,+3.120000E+00,+2.920000E+00,+5.200000E+00
+1.840000E-07,+3.120000E+00,+2.960000E+00,+5.240000E+00
+1.860000E-07,+3.080000E+00,+2.960000E+00,+5.280000E+00
+1.880000E-07,+3.040000E+00,+2.960000E+00,+5.360000E+00
+1.900000E-07,+3.040000E+00,+3.000000E+00,+5.360000E+00
+1.920000E-07,+3.000000E+00,+3.000000E+00,+5.400000E+00
+1.940000E-07,+2.960000E+00,+3.000000E+00,+5.440000E+00
+1.960000E-07,+2.920000E+00,+2.960000E+00,+5.520000E+00
+1.980000E-07,+2.920000E+00,+3.040000E+00,+5.520000E+00
+2.000000E-07,+2.920000E+00,+3.080000E+00,+5.520000E+00
+2.020000E-07,+2.920000E+00,+3.120000E+00,+5.520000E+00
+2.040000E-07,+2.880000E+00,+3.120000E+00,+5.560000E+00
+2.060000E-07,+2.880000E+00,+3.080000E+00,+5.520000E+00
+2.080000E-07,+2.880000E+00,+3.000000E+00,+5.520000E+00
+2.100000E-07,+2.920000E+00,+2.920000E+00,+5.520000E+00
